ano,municipio,uf,pop_urbana,pop_agua,pop_esgoto,indice_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_agua,investimento,Total,Branca,Preta,Parda,Indígena,perc_branca,perc_preta,perc_parda,perc_indigena,perc_negra,renda_media_estimada
2020,JABORANDI,SP,6497.0,5831.0,6155.0,89.8,100.0,100.0,17.33,144072.08,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2018,MONTE AZUL PAULISTA,SP,17824.0,18280.0,18107.0,98.3,85.0,35.0,35.79,0.0,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2022,MONTE AZUL PAULISTA,SP,,18133.0,18084.0,,85.0,35.0,34.48,87136.94,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2021,MONTE AZUL PAULISTA,SP,17710.0,18693.0,18483.0,96.8,85.0,35.0,40.54,0.0,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2020,MONTE AZUL PAULISTA,SP,17748.0,18522.0,18483.0,95.7,85.0,35.0,39.56,0.0,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2014,MONTE AZUL PAULISTA,SP,18095.0,19339.0,19339.0,94.9,85.0,35.0,0.0,,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2019,MONTE AZUL PAULISTA,SP,17785.0,18711.0,18551.0,100.0,85.0,35.0,34.84,0.0,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2016,MONTE AZUL PAULISTA,SP,18028.0,18844.0,18557.0,97.4,85.0,35.0,0.0,0.0,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2015,MONTE AZUL PAULISTA,SP,18062.0,19304.0,19304.0,96.0,85.0,35.0,0.0,,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2017,MONTE AZUL PAULISTA,SP,17997.0,18222.0,18054.0,97.1,85.0,35.0,48.32,0.0,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
